It's very hard to write a song alone. It's only by jamming that you can get a song together.,Maurice Gibb,alone
"I was able to support myself by acting alone about six years ago. Until then, I was just scraping by.",Edie Falco,alone
"Eagles commonly fly alone. They are crows, daws, and starlings that flock together.",John Webster,alone
"I like being alone and I think this movie, as much as it is an investigation of connection and people bonding, I also think it's just as much about loneliness.",Jason Schwartzman,alone
"I am very averse to bringing myself forward in print, but as my account will only appear as an appendage to a former production, and as it will be confined to such topics as have connection with my authorship alone, I can hardly accuse myself of a personal intrusion.",Mary Wollstonecraft Shelley,alone
"The secret to being a writer is that you have to write. It's not enough to think about writing or to study literature or plan a future life as an author. You really have to lock yourself away, alone, and get to work.",Augusten Burroughs,alone
"When I was old enough to go to movies alone, I got to see 'Frankenstein' and 'Dracula' on the big screen. I just fell in love with them.",George A. Romero,alone
Autobiography begins with a sense of being alone. It is an orphan form.,John Berger,alone
Young people discovering their sexuality must know they walk with a strong tradition and that they are not alone. They have a right to information without being pressured.,Jasmine Guy,alone
"Laws are generally found to be nets of such a texture, as the little creep through, the great break through, and the middle-sized are alone entangled in it.",William Shenstone,alone
"The athlete of today is not an athlete alone. He's the center of a team - doctors, scientists, coaches, agents and so on.",Emil Zatopek,alone
I don't treat the band like I'm above them or that they're a hired hand for me. We've never worked that way. So I'm a team player. I would be very uncomfortable having to do this alone.,Tom Petty,alone
"It is said that man doesn't live by bread alone. Sometimes this is unfortunate, because people who cannot live by bread alone too often kill other people in consequence of the fights they get into.",John McCarthy,alone
"For an adult, eating alone at McDonald's is admitting a kind of defeat.",Jonathan Carroll,alone
"I tour alone. There's no sound check, no back up. I stay with the hosts I am in a family home and it's really nourishing. I just have to remember after the show not to run out into the living room in my pyjamas. Every day, it's a new relationship being built. It's odd and wonderful.",Jane Siberry,alone
"I hope this will help new moms not feel alone or desperate, and that there is no shame in their feelings. PPD is out of their control, but the treatment and healing process is not.",Brooke Shields,alone
"It's good that the first half of the speech emphasized freedom, because George W. Bush has been the global champion for freedom. As he said, if we don't fight tyranny it will not leave us alone in peace.",Ernest Istook,alone
"All my fans tell me what a glamorous life I have, but I tell them how hard I work and how many nights I spend alone with my dogs, eating chicken pot pie in my bedroom.",Shannen Doherty,alone
"I've been left alone, even by the paparazzi, because what sells is sex and scandal. Absent that, they really don't have much interest in you. I'm still married, still working, still happy.",Matt Damon,alone
"Although born in a prosperous realm, we did not believe that its boundaries should limit our knowledge, and that the lore of the East should alone enlighten us.",Charles de Secondat,alone
"Science and vision are not opposites or even at odds. They need each other. I sometimes hear other startup folks say something along the lines of: 'If entrepreneurship was a science, then anyone could do it.' I'd like to point out that even science is a science, and still very few people can do it, let alone do it well.",Eric Ries,alone
A movie like House of the Dead with around $7 million budget or Alone in the Dark with around $16 million budget are much easier to make profit than the typical $50 million major motion picture.,Uwe Boll,alone
"If you're truly in a band and you guys have been together for a long time, there's a family bond that you have. In fact, I've talked about this with therapists, especially if you're talking about a relationship, because when you're with somebody, you're going to your family, and she's alone.",Gary Allan,alone
"I mean one of the things about being alone is that you've no people to define yourself off, I mean, people are like all-round mirrors, because let's face it, we don't often see ourselves all round in a mirror anyway, do we.",Diana Wynne Jones,alone
"The devil had as good have let Paul alone, for he no sooner comes into prison but he falls a preaching, at which the gates of Satan's prison fly open, and poor sinners come forth.",William Gurnall,alone
"Every three days on average, I am alone on stage, facing the public.",Placido Domingo,alone
"But in the end, in the end one is alone. We are all of us alone. I mean I'm told these days we have to consider ourselves as being in society... but in the end one knows one is alone, that one lives at the heart of a solitude.",Harold Bloom,alone
"The Jew does not wish to be isolated. He fears being alone, without allies.",Meir Kahane,alone
"I think that in itself is kind of an amazing achievement to be able to say that your full-time career is in any creative arts, let alone a show that has kept people interested for coming on four seasons and hopefully more.",Anna Paquin,alone
"In today's interdependent world, a threat to one becomes a menace to all. And no state can defeat these challenges and threats alone.",Michelle Bachelet,alone
Artists walk alone.,Ezra Miller,alone
"Christmas lights may be the loneliest thing for me, especially if you mix them up with reindeers and sleighs. I feel alone. I feel isolated. I feel I do not belong.",Mira Nair,alone
"In my cranky old age, I actually prefer recording alone now, on 'The Simpsons,' for example, because I find that the director can just focus on what I'm doing and I can do a lot of variations. A lot of times, when I record with a group, I'll stay after class for another hour or two.",Hank Azaria,alone
I'm so secluded. Very alone.,Yves Saint Laurent,alone
"It felt like the first thing, but when I first started out, I got a job adapting a book by Russell Banks called 'Rule Of The Bone.' I didn't do a very good job. I didn't really know what I was doing in general, let alone how to adapt a book.",Paul Thomas Anderson,alone
"Let me alone: I have yet my legs and one arm. Tell the surgeon to make haste and his instruments. I know I must lose my right arm, so the sooner it's off the better.",Horatio Nelson,alone
"On the stage, you alone hold the key, and on the night you have to trust that the director has inspired you enough to take the material and run with it.",Greta Scacchi,alone
"We cannot know the whole truth, which belongs to God alone, but our task nevertheless is to seek to know what is true. And if we offend gravely enough against what we know to be true, as by failing badly enough to deal affectionately and responsibly with our land and our neighbors, truth will retaliate with ugliness, poverty, and disease.",Wendell Berry,alone
"I am convinced that living in an enclave shapes the personality, and living alone shapes the personality too.",Mary Douglas,alone
European investment in Texas alone exceeds all U.S. investment in China and Japan put together.,John Bruton,alone
"There's great sadness and life doesn't work out like you would want, on a lot of levels, but there's no need to feel all alone. This happens to everybody, so there's no self-pity. This is the ride that humans are on, and all of it is essential for our natural part of it.",Mike Mills,alone
I like to be alone so I can write. But focus can hurt you. I don't want to be some stress casualty in early middle age.,James Ellroy,alone
"I am aware that in presenting myself as the advocate of the Indians and their rights, I shall stand very much alone.",Sam Houston,alone
"A singer for me is more like someone who is standing alone with a microphone like Scott Walker, rather than someone who is bashing a plank and is spitting all over a microphone.",Graham Coxon,alone
"You have to respect your audience. Without them, you're essentially standing alone, singing to yourself.",K. D. Lang,alone
"She goes through the vale of death alone, each time a babe is born. As it is the right neither of man nor the state to coerce her into this ordeal, so it is her right to decide whether she will endure it.",Margaret Sanger,alone
"There's nobody else on the face of this earth that's playing a sport at a highest level... with a transplant. That alone continues to inspire me, because I realize throughout the whole world the struggles that people are going through. I need to inspire them the best way I can.",Alonzo Mourning,alone
"This communication alone, by the comparison of the antagonisms, rivalries, movements which give birth to decisive moments, permits the evolution of the soul, whereby a man realizes himself on earth. It is impossible to be concerned with anything else in art.",Robert Delaunay,alone
"I think all teenagers feel alone, and that nobody else knows what they are going through and all that sort of stuff.",Nicholas Hoult,alone
"Life certainly points it out to you - 'you can go this way or the other way.' You have to decide and it's a very strong decision because, would you sleep well knowing that you're living in the best place, but you're letting the place where you should live alone?",Gael Garcia Bernal,alone
People with fertility problems are not alone. It is a very very common problem for couples today. I've seen statistics that are just staggering.,Michael Zaslow,alone
No One Is Alone by Stephen Sondheim is all about thinking for yourself and being your own person.,Bernadette Peters,alone
"I sailboat raced, I love to go out on my motorcycle alone, but I also love my family dearly. I love that aspect of my life as well.",Bob Seger,alone
"Shockingly, a University of Pennsylvania study says the number of young people addicted to gambling - largely due to increased exposure to the Internet and Internet gambling - grew by an alarming 20 percent between 2004 and 2005 alone.",Spencer Bachus,alone
"My early childhood prepared me to be a social psychologist. I grew up in a South Bronx ghetto in a very poor family. From Sicilian origin, I was the first person in my family to complete high school, let alone go to college.",Philip Zimbardo,alone
"Anyone who writes knows that ultimately the majority of your time is spent alone in a room with a piano or a guitar, no matter what the project is.",Trey Anastasio,alone
"You have to understand the tone of the movie, because if it's supposed to be funny, it can be funny violent like the Home Alone stuff, but you have to really understand the tone of what you're doing and make the action work for that and for the character.",David R. Ellis,alone
"As the only girl growing up among three brothers, I was always afraid of being excluded. If there was a game to be played, a sport to be learned, a competition to join, I was on my feet and ready. I didn't spend much time alone for fear that I'd miss out.",Elisabeth Shue,alone
I like to read books and be alone I'm not social butterfly person.,Hope Solo,alone
"I don't know. I think it's funny! I think it's funny! I go, what? It's so absurd. I'm alone.",Danny DeVito,alone
"I personally love to run outdoor fitness trails. I love the meditative value I get when out alone, challenging myself to run faster and higher.",Laurieann Gibson,alone
"I can work myself up into a fearful, paralyzing state of mind that can last for days, weeks even months where I feel mad, totally isolated and alone, overwhelmed and completely out of control.",Vinny Guadagnino,alone
I can't write without a reader. It's precisely like a kiss - you can't do it alone.,John Cheever,alone
"Glasgow's not a media center. When you're there, when you're hanging about, you feel quite detached from musical movements or fashions or anything like that. You do feel quite alone, in a good way.",Alex Kapranos,alone
"I believe in capitalism for everybody, not necessarily high finance but capitalism that works for the working men and women of this country who are out there paddling alone in America right now.",Rick Santorum,alone
"But there's not enough time in life to go sit at a party, have a drink, and make idle conversation. There's too many important things to do. Just being together with my husband, spending time alone, which I have very little of.",Pia Zadora,alone
"Tell me who is able to keep his bed chaste, or which goddess is able to live with one god alone?",Sextus Propertius,alone
"A book is sent out into the world, and there is no way of fully anticipating the responses it will elicit. Consider the responses called forth by the Bible, Homer, Shakespeare - let alone contemporary poetry or a modern novel.",Chaim Potok,alone
"I feel completely alone - it's like melting, I am the structure, and I am also Alain Robert.",Alain Robert,alone
"I love working with a cast and a group of people every day, which is different than recording because you're usually pretty isolated and alone. They serve as a good balance for each other.",Idina Menzel,alone
I mean Buckingham Palace has never hired a professional public relations outfit let alone a Madison Avenue type and they would throw up their hands in horror at the very idea.,Anthony Holden,alone
"Mr. Churchill is proud of Britain's stand alone, after France had fallen and before America entered the War.",Eamon de Valera,alone
"I'm actually not an exhibitionist at all. When you get onstage and you get under the lights playing music, I feel more hidden and more alone than anywhere else. You hide behind your music and let your emotions come out through the music.",Tim McGraw,alone
I love nicknames. It makes me feel loved. It makes me feel less alone in this world.,Ellen Page,alone
But there is a discomfort that surrounds grief. It makes even the most well-intentioned people unsure of what to say. And so many of the freshly bereaved end up feeling even more alone.,Meghan O'Rourke,alone
"Despite the demands of this job, one of the things my wife and I try to do is to spend time together alone. And one of the things we really enjoy doing together is seeing a good movie.",Warren Christopher,alone
"I have Graham Greene's telephone number, but I wouldn't dream of using it. I don't seek out writers because we all want to be alone.",Patricia Highsmith,alone
"We are the only class in history that has been left to fight its battles alone, unaided by the ruling powers. White labor and the freed black men had their champions, but where are ours?",Elizabeth Cady Stanton,alone
"I'm more like my father, personality-wise. But my mom and I get alone really well - obviously, because my mom and my dad get along so well.",Jenna Bush,alone
"As I've gotten older I've occasionally found myself nostalgic for earlier periods of solitude, though I realize that's also likely a false nostalgia, as I know there was nothing I wanted more during those periods than to not be alone, whatever that means.",Chris Ware,alone
He alone loves the Creator perfectly who manifests a pure love for his neighbor.,Venerable Bede,alone
"For every five well-adjusted and smoothly functioning Americans, there are two who never had the chance to discover themselves. It may well be because they have never been alone with themselves.",Marya Mannes,alone
"Our ideal is to make her ever stronger and better and finer, because in that way alone, as we believe, can she be of the greatest service to the world's peace and to the welfare of mankind.",Henry Cabot Lodge,alone
"Each year over 2,500 commercial vessels enter the Port of Hampton Roads alone, so adequate funding for port security is a significant issue for those of us who live in Richmond and Hampton Roads.",Bobby Scott,alone
I love the way you can fall in love with a piece of literature how words alone can get your heart doing that.,Laura Marling,alone
"I need some isolation, it's necessary to me, that's just who I am. I need to be left alone.",Laura Marling,alone
"When you have two busy kids running around the house, returning e-mails is a task, let alone surfing the web.",Tom Brady,alone
"The way life manages information involves a logical structure that differs fundamentally from mere complex chemistry. Therefore chemistry alone will not explain life's origin, any more than a study of silicon, copper and plastic will explain how a computer can execute a program.",Paul Davies,alone
"Perhaps the best motivation for going to Mars is political. It is obvious that no single nation currently has either the will or the resources to do it alone, but a consortium of nations and space agencies could achieve it within 20 years.",Paul Davies,alone
"Should we find a second form of life right here on our doorstep, we could be confident that life is a truly cosmic phenomenon. If so, there may well be sentient beings somewhere in the galaxy wondering, as do we, if they are not alone in the universe.",Paul Davies,alone
"One thing, however, is sure, - that in all cases the effort should be to impose all the cost of repairing the wrong upon the doer of the wrong. This alone is real justice, and of course such justice is necessarily free.",Benjamin Tucker,alone
"Sisters are always drying their hair. Locked into rooms, alone, they pose at the mirror, shoulders bare, trying this way and that their hair, or fly importunate down the stair to answer the telephone.",Phyllis McGinley,alone
We'll try to include Iraqi officers in our staffs. We will do everything we can to empower Iraqi security forces to stand up on their own and operate where they can alone.,John Abizaid,alone
I would as soon put a girl alone into a closet to meditate as give her only the society of her needle.,Maria Mitchell,alone
"Fear is that thing that keeps you up there on that other plateau. Fear is that thing that just keeps you closed down, and quite frankly, alone.",Andrew Shue,alone
The White House alone cannot hold its opponents accountable.,Paul Weyrich,alone
"Largely this is a class thing - writers tend to be cosseted little middle-class kiddies who think that the world owes them a royalty cheque. But just doing it - being in your room for years on end, locked in your head, alone with invented ghosts - it weakens and softens the body. And I know I can't just live in my head.",Tony Parsons,alone
"However, democracy cannot be defined as the existence of parliaments and elections alone.",Recep Tayyip Erdogan,alone
"But Socialism, alone, can bring self-determination of their peoples.",Karl Liebknecht,alone
"By being friends with all, we are not alone.",Hamad bin Isa Al Khalifa,alone
No man is an island. No man stands alone.,Dennis Brown,alone
Music is one of those things that make us feel a little less alone in the world.,Tom Cochrane,alone
"In a world that is constantly changing, there is no one subject or set of subjects that will serve you for the foreseeable future, let alone for the rest of your life. The most important skill to acquire now is learning how to learn.",John Naisbitt,alone
"Today osteoporosis affects more than 75 million people in the United States, Europe and Japan and causes more than 2.3 million fractures in the USA and Europe alone.",Gro Harlem Brundtland,alone
"I think Jersey stands alone, and because I'm from Jersey, I never make fun of where people are from. I'll make fun of what they look like, but I'll never make fun of where they are from. Jersey is special.",Jeff Ross,alone
"I'm vulnerable to criticism. Any artist is, because you work alone in your studio and, until recently, critics were the only way you'd get any feedback.",Howard Hodgkin,alone
"I have tried to be a leader. I have tried in my role of being one of the first women at Google, let alone the first woman to have a baby, to really try to set the tone that this is a great place to work for diversity reasons.",Susan Wojcicki,alone
"To really be centered and to really work well and to think about the kinds of things that I need to think about, I need to spend large amounts of time alone.",Donna Tartt,alone
"Why has not anyone seen that fossils alone gave birth to a theory about the formation of the earth, that without them, no one would have ever dreamed that there were successive epochs in the formation of the globe.",Georges Cuvier,alone
"I have always been very obsessed with time. Time's passage makes us all very vulnerable and because we all experience it in our own way, it can make us feel very alone.",John Barton,alone
"Human beings do not live in the objective world alone, nor alone in the world of social activity as ordinarily understood, but are very much at the mercy of the particular language which has become the medium of expression for their society.",Edward Sapir,alone
"I very much wished not to be noticed, and to be left alone, and I sort of succeeded.",Mary Oliver,alone
"After I lost my fiance, it seemed like it would be better to always be alone than to risk being hurt again.",Nancy Grace,alone
"We enter the world alone, we leave the world alone.",James Anthony Froude,alone
"I have a grim outlook on the world, and in particular on humanity. Spent years denying it, but I am very misanthropic. And I live alone on a mountain for a reason.",Caleb Carr,alone
There is no one looking out for us. We are all alone.,M. Night Shyamalan,alone
"Judaism is much more communal, and partly as a consequence of my religious switch, I am increasingly more suspicous of my previous view that what people do in the privacy of their own home is their business alone.",Luke Ford,alone
"I'm throwing myself back in because I like being married. I don't want to end this whole fabulous journey alone. I want someone by my side who I love and who loves me. I've finally found somebody who's up to the task of being my wife, because I'm very high maintenance.",Neil Diamond,alone
"Having gone through so many of the personal things I've gone through, its about creating an (online) space for girls to be heard. I don't profess to have all the answers. But Ask Elizabeth is a space where girls are not alone.",Elizabeth Berkley,alone
"The private interest of the individual would not be sufficiently provided for by reasonable and cool self-love alone therefore the appetites and passions are placed within as a guard and further security, without which it would not be taken due care of.",Joseph Butler,alone
"Men are beginning to realize that they are not individuals but persons in society, that man alone is weak and adrift, that he must seek strength in common action.",Dorothy Day,alone
"As much as I long for a sort of security and consistency sometimes, I do enjoy sort of being busted around. I really don't know what's happening sometimes next week, let alone this year.",Matthew Macfadyen,alone
"For a while I felt very alone sort of out there in the world of comics, especially here in the States.",Bill Sienkiewicz,alone
The U.S. cannot go it alone simply when it is convenient.,Susan Rice,alone
I would rather be alone and a loud voice for action than be silent.,Susan Rice,alone
"But, if you observe children learning in their first few years of life, you can see that they can and do learn on their own - we leave them alone to crawl, walk, talk, and gain control over their bodies. It happens without much help from parents.",Daniel Greenberg,alone
"She can't even chew gum and walk in a straight line, let alone write a book.",Liam Gallagher,alone
"That song is a story that shows how easily you could get slipped into being labeled as the bad guy, even though what you really trying to do is tell the bad guy to leave you alone.",Slick Rick,alone
No matter how fast I could do it with the digital camera I don't think I would get the same thing out of it. The passion I have for formulating an idea stands alone. It is the important essence of what I do.,Kim Weston,alone
Taste is the fundamental quality which sums up all the other qualities. It is the nec plus ultra of the intelligence. Through this alone is genius the supreme health and balance of all the faculties.,Isidore Ducasse Lautreamont,alone
"I think we need one recognized, respected public figure to make a tough, blunt statement on just what Reagan's record is and what he might do to the country, let alone the Republican Party before Christmas.",Robert Teeter,alone
"There is nothing like being left alone again, to walk peacefully with oneself in the woods. To boil one's coffee and fill one's pipe, and to think idly and slowly as one does it.",Knut Hamsun,alone
"Hungary is, in a word, in a state of WAR against the Hapsburg dynasty, a war of legitimate defence, by which alone it can ever regain independence and freedom.",Lajos Kossuth,alone
The power that is supported by force alone will have cause often to tremble.,Lajos Kossuth,alone
"Highly educated young people are tutored, taught and monitored in all aspects of their lives, except the most important, which is character building. When it comes to this, most universities leave them alone.",David Brooks,alone
"The Holy Spirit alone can do this, the Holy Spirit alone can establish this link with one's neighbor.",Jacques Ellul,alone
"When I was working on Eye of the Beholder, I played a character who is so aloof that my whole lifestyle became very aloof. If someone knocked on my door, there was a part of me that went into a rage, because I wanted to be isolated and alone.",Ashley Judd,alone
I have a responsibility to nurture and shepherd my talent and when I'm living the parts of my life not related to that I feel I have the right to be left alone.,Ashley Judd,alone
"Both my husband and I give a lot of ourselves in what we do because that is our public lives but in my private life, I have an intrinsic right to be left alone.",Ashley Judd,alone
President Johnson did not want the Vietnam War to broaden. He wanted the North Vietnamese to leave their brothers in the South alone.,William Westmoreland,alone
"In the last 5 years, American employers have lost over $150 billion of productivity to depression alone. That is more than the GDP of 28 different States during the same period.",Patrick J. Kennedy,alone
"The writing is really hard. You're alone. It really pulls it out of you. You pull it out of your head. But when you're a director, you're shopping - you're picking this actor, you're picking this scene. It's like the most intense kinetic high-speed shopping of all time. You sit in a chair and it will all come rushing at you like a wind tunnel.",Tony Gilroy,alone
"Looking back on those games, I probably hustled out of position as much as I hustled into position since I really never had any real training. I was working on instincts alone.",Jim Evans,alone
"There's this thing of you can live in a city and be completely alone, not notice anything going on around you.",Simon Pegg,alone
"There are actually quite high profile British TV star cameos in it that you probably wouldn't even notice, that the British wouldn't even notice, let alone the American audience.",Simon Pegg,alone
"Scholarship was one thing, drudgery another. I very soon concluded that nothing would induce me to read, let alone make notes on, hundreds and hundreds of very, very, very boring books.",Simon Raven,alone
"In our open society, we are inclined to give to the less fortunate for the pure goodness of giving. We open our home to those who are alone on this holiday to spread some warmth into the life of another.",Jeff Miller,alone
I used to wonder if it was God's plan that I should be alone for so much of my life. But I found peace. I found happiness within people and the world.,Lana Del Rey,alone
"Remember, the burden of sorrow is doubled when it is borne alone.",Goran Persson,alone
"I don't like to produce albums. I hate producing albums, as a matter of fact, because I'm an obsessed mixer and I can't leave it alone.",David Friedman,alone
"You watch an old 'Jeopardy!' and the categories alone are very plain. 'Poetry,' or 'Movies,' or 'Physics.' If you watch it now, though, there'll be a theme board where the categories are all Hitchcock movies. Lots more jokes, lots more high-concept categories and questions.",Ken Jennings,alone
He never is alone that is accompanied with noble thoughts.,John Fletcher,alone
"Acquire the habit of speaking to God as if you were alone with Him, familiarly and with confidence and love, as to the dearest and most loving of friends.",Alphonsus Liguori,alone
We are ultimately alone in that we are ultimately responsible for ourselves.,Robert Zemeckis,alone
"Iran has long sponsored terrorists who carry out homicide bombings in Israeli cities. However, it is a mistake to believe the danger Iran poses is directed at Israel alone.",John Doolittle,alone
"On the one hand, shopping is dependable: You can do it alone, if you lose your heart to something that is wrong for you, you can return it it's instant gratification and yet something you buy may well last for years.",Judith Krantz,alone
"That is, we believed, the supreme duty of the parent, who only was permitted to claim in some degree the priestly office and function, since it is his creative and protecting power which alone approaches the solemn function of Deity.",Charles Eastman,alone
"Israel is no longer a people that dwells alone, and has to join the global journey toward peace, reconciliation and international cooperation.",Yitzhak Rabin,alone
"I had never walked on the street alone when I was growing up in Calcutta, up to age 20. I had never handled money. You know, there was always a couple of bodyguards behind me, who took care if I wanted... I needed pencils for school, I needed a notebook, they were the ones who were taking out the money. I was constantly guarded.",Bharati Mukherjee,alone
"It can be kind of gruesome at times, making things alone.",Jenny Holzer,alone
"It's necessary to start most work alone. But I'm tickled to death when I can pull somebody in or join someone, whether it's borrowing poetry or traveling with an associate.",Jenny Holzer,alone
"I don't understand the Democrats' approach to Social Security in this country, and I'm not alone.",William Weld,alone
And I don't have any specific steps to take because I don't start the same way every time. But there is a knowing when it's enough and you can leave it alone.,Bruce Nauman,alone
"I love photo sessions. I'm alone, I'm the queen, everyone's taking care of me.",Eva Herzigova,alone
"The whole kiss-and-tell thing is a negative approach that often happens in a World Cup. We will see negative stories about the players and it can affect their confidence and the overall performance of the national team on the pitch, let alone the bid to actually stage the competition.",Gary Lineker,alone
What We want is to make it possible for our unfortunate people to live a life of industry for it is by steady work alone that we hope for our physical and moral rehabilitation. For this reason above all we have undertaken to rally our people around our ideal.,Theodor Herzl,alone
"And you know when I was growing up, I knew I wanted to have kids, but I knew I didn't want to do it alone. Then once I was 41, 42, I had to accept that I probably wouldn't have kids unless I decided to adopt later on, but even then it would be with a partner.",Rachel Dratch,alone
"If there's ever an example that military power alone cannot be successful in Afghanistan, I think it was the Soviet experience.",Robert M. Gates,alone
It is very frightening to feel alone when you are standing against a rich and powerful person and all his attendant helpers.,Gloria Allred,alone
"I think the Mother is gradually revealing itself to me and taking over. But it is not the Mother alone. It is the Mother and the Father, the male and the female, sort of gradually having their marriage.",Bede Griffiths,alone
"When anything goes digital, let alone something as immaterial as a book, there is a tendency to see it as just in the air to be taken, and to lose the sense that somebody once made it.",Graham Swift,alone
"There's a sense of aliveness that comes from connection, shared experience. And you see it in every place. You see it when ball players jump up and down, gather at home plate, hugging, and it's not just because they're winning, it's that shared moment, that feeling of - we enter the world alone, we leave alone.",Peter Guber,alone
"Traditionally, Medicare's assurance has been that for the elderly and persons with disabilities that they will not be alone when confronted with the full burden of their health care costs.",Mike Fitzpatrick,alone
Myspace alone has just over 80 million users and ranks as the sixth most popular English language website and the eighth most popular site in the world.,Mike Fitzpatrick,alone
"I never thought a basketball shoe would be named after a woman, let alone me.",Sheryl Swoopes,alone
Always the aim for me is making people feel like they are not alone. That's just the greatest feeling.,Zooey Deschanel,alone
"Man, I hate to get depressing on you, but I don't have a game. I'm so alone, so depressed, so dark, no.",Jason Schwartzman,alone
"Strength alone knows conflict, weakness is born vanquished.",Sophie Swetchine,alone
"If you think spreading money around by force seems like an odd definition of fairness, you're not alone.",Arthur C. Brooks,alone
"When you see a struggle that you may be having personally put on a big screen and in a roomful of people, then it makes you feel less crazy or alone, because you're seeing that other people are dealing with it too. You get to see in this imaginary scenario how people might try and answer some questions or deal with some problems.",Michael Shannon,alone
It is my personality alone that has brought back the waltz and made it a global craze.,Andre Rieu,alone
"I have always had a sense that we are all pretty much alone in life, particularly in adolescence.",Robert Cormier,alone
"For people who are really talented, what you don't say becomes extremely important. You have to judge what to say and what to leave alone so you can let the talent develop.",Itzhak Perlman,alone
"Time and space - time to be alone, space to move about - these may well become the great scarcities of tomorrow.",Edwin Way Teale,alone
"We are never the same with others as when we are alone. We are different, even when we are in the dark with them.",Maurice Maeterlinck,alone
"You ask me if I will not be glad when the last battle is fought, so far as the country is concerned I, of course, must wish for peace, and will be glad when the war is ended, but if I answer for myself alone, I must say that I shall regret to see the war end.",George Armstrong Custer,alone
The population forecast for the United States in 1970 is 170 million. The population forecast for Russia alone in 1970 is 251 million. The implications are clear.,Emanuel Celler,alone
"I do read books. I suppose it's more or less the same thing, but at least I'm alone and I'm an individual. I can stop anytime I want, which I frequently do.",Jack Vance,alone
"I've always been shocked and waiting-for-the-other-shoe-to-drop that a girl would ever talk to me, let alone want to marry me. They always seem to hold the power to me, and from my mother to my wife to my daughter, every time I try to really figure them out, and think I've got them pegged, I pay for it.",Andrew Stanton,alone
I talked about the barriers created by monopolies. I said that it was the role of government to break up these monopolies and that we couldn't do it alone.,Joichi Ito,alone
"Most photographers work best alone, myself included.",Elliott Erwitt,alone
It proved easier to buy the farm to get the mineral rights than to buy the coal rights alone.,Orville Redenbacher,alone
"No matter how close to yours another's steps have grown, in the end there is one dance you'll do alone.",Jackson Browne,alone
Absolute truth belongs to Thee alone.,Gotthold Ephraim Lessing,alone
Research and development needs permanent tax credits to build the technology that spurs our growth. But no government programs alone can get America's students to study more science and math parents must push and help their children to meet this goal.,Ernest Istook,alone
"The next thing I wrote was in a writing class at night school. It was about a poor woman who worked at a dime store and who was all alone for Christmas in Laurel, Mississippi.",Beth Henley,alone
"My brother and Lauren are very close with me and they are in Sun Valley, so sometimes I need to go there and feel their presence. And there are times I need to see my bro' alone.",Picabo Street,alone
"What's important is promising something to the people, not actually keeping those promises. The people have always lived on hope alone.",Hermann Broch,alone
"For a while I couldn't leave the house by myself. Even if I was just grocery shopping alone, I'd get self-conscious.",Shannen Doherty,alone
Words alone cannot fully convey the realities of the soul or the greatness of the human spirit.,William Shirley,alone
Let there be no mistake. A gay man alone could never begin to replicate the inner workings of the female mind.,Michael Patrick King,alone
"The great increase of our population throughout the Union will alone produce an important effect, and in no quarter will it be so sensibly felt as in those in contemplation.",James Monroe,alone
Alone is a much better film than House of the Dead and better than most horror movies out today.,Uwe Boll,alone
I think Alone in the Dark was too much an action creature movie than a horror creature movie.,Uwe Boll,alone
"When I'm online, I'm alone in a room, tapping on a keyboard, staring at a cathode-ray tube.",Clifford Stoll,alone
"I like to have a massage therapist come to my house, get a massage, take a bath, go to bed. That's a perfect night alone for me.",Stacy Keibler,alone
I'm fortunate that I've been in this business long enough that I've earned the right to be left alone by my record company.,Don Henley,alone
"We are very anxious to bring the Jews of Morocco over and we are doing all we can to achieve this. But we cannot count on the Jews of Morocco alone to build the country, because they have not been educated for this.",Moshe Sharett,alone
"When I work alone, it can be like dabbling with a canvas. Maybe you paint over bits, and it starts to form its own life and lead you off in a direction. It becomes an intuitive, subconscious process.",Lindsey Buckingham,alone
"When I work alone, my process is like painting. With Fleetwood Mac, it's more like movie making.",Lindsey Buckingham,alone
Success doesn't necessarily come from breakthrough innovation but from flawless execution. A great strategy alone won't win a game or a battle the win comes from basic blocking and tackling.,Naveen Jain,alone
Some people can sometimes really invade your space and kind of never leave you alone.,Julia Louis-Dreyfus,alone
"Now that I have found someone, I'm feeling more alone... than I ever have before.",Ben Folds,alone
"Thus, the poet's word is beginning to strike forcefully upon the hearts of all men, while absolute men of letters think that they alone live in the real world.",Salvatore Quasimodo,alone
"If I lived alone, Mom'd never sleep because she wouldn't know I was okay.",Scott Baio,alone
"I didn't need clothes. I was allowed the opportunity to act out moments you don't get the opportunity to experience in your own life, let alone as a character in a film. I didn't feel naked.",Marguerite Moreau,alone
"Say not that honor is the child of boldness, nor believe thou that the hazard of life alone can pay the price of it: it is not to the action that it is due, but to the manner of performing it.",Akhenaton,alone
"Some of us may just, in one-on-one conversations with our family, with our friends, over the back fence with our neighbors, talk about the reality of our lives and realize that we're not alone, that we have a right to be physically safe and emotionally safe in our own homes.",Patricia Ireland,alone
"Hiking is the best workout!... You can hike for three hours and not even realize you're working out. And, hiking alone lets me have some time to myself.",Jamie Luner,alone
"I can barely remember what I wrote yesterday, let alone 10 years ago.",Andrew Sullivan,alone
"I can support going in after Saddam Hussein, but I want to make sure I don't go alone.",John Dingell,alone
I spend my life essentially alone at a computer. That doesn't change. I have the same challenges every day.,Dan Brown,alone
Something about Texas I'm not proud of is that our state murdered 37 people last year alone.,Richard Linklater,alone
For each one of us stands alone in the midst of a universe.,John Buchanan Robinson,alone
